,Max V (increase),Max V (decrease),Max D (increase),Max D (decrease),Min S+R (increase),Min S+R (decrease),Max Mphi (increase),Max Mphi (decrease),Max T (increase),Max T (decrease),Max Lu (increase),Max Lu (decreased),Max Fu (increased),Max Fu (decreased),Total Fu (increase),Total Fu (decrease)
I0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
del_I_MPhi,-5.52288299093817E-05,5.52342572786024E-05,-0.00018313584660012400,0.0001831922999282480,0.00010777663220373800,-0.00010778774183473100,-2.86230459356496E-05,2.86244920126855E-05,-0.0001252177851651660,0.00012525158616205600,-2.6824005939563E-05,2.68253184607659E-05,-6.29851390465674E-06,6.29854716671652E-06,-4.41437187397309E-05,4.41418080741052E-05
del_I_T,-0.0005778168634545940,0.0005782485471281800,0.019239192691374200,-0.019765522053427900,0.0010963178423497600,-0.001099230109662620,-0.0003217308723907350,0.0003218403041618250,-0.003070277575455970,0.003199387248393750,-0.00030045433631509200,0.0003005495561070330,-6.82129770299689E-05,6.82001672596133E-05,-0.02089870655276790,0.022311185960131500
d_I,-0.005415469409248860,0.005484718804587450,-0.015486309506774700,0.016016602258351900,0.01052478288520330,-0.010785754240670900,-0.002971058021760560,0.002991939818933310,-0.013648748553405600,0.01411518245271880,-0.00277872684971181,0.0027980555329589800,-0.0006367892950766010,0.0006383150040358830,-0.013422113084955800,0.01362559844209940
D0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
del_D_MPhi,1.31123822910695E-09,-1.31130062364093E-09,-1.03372455007023E-06,1.0337267024596E-06,2.46596243425046E-08,-2.46596617570205E-08,-6.8520367157987E-10,6.85218770613005E-10,1.10059295010956E-10,-1.10091158411763E-10,-5.28617705164436E-10,5.28720178749609E-10,9.08944031152714E-11,-9.08907393792902E-11,-2.23486145145557E-08,2.23344698291328E-08
d_D,4.49047252415458E-05,-4.84783565792846E-05,-0.04732333209187930,0.052257795238495300,0.0009518827252172900,-0.001052320888968670,-3.20164524171274E-05,3.79924147924093E-05,1.55295652912724E-05,-1.66642231828051E-05,-2.59000499851503E-05,3.10166386940924E-05,2.22420019735381E-06,-2.09983725452112E-06,-0.0010607889602745100,0.0011660520141010300
MPhi_R_0,-0.0008742575034218490,0.000930525096283441,-0.005856838404065700,0.0059175627008349900,0.0005799490783711110,-0.0006283019513452230,0.07104052652118200,-0.06926912081491020,-0.008097029055100120,0.007923453473652310,0.06387362316901710,-0.06271306459967400,0.006235085699010320,-0.006625970488206010,-0.023789660385198700,0.026502269115940000
d_MPhi_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lam_MPhi,0.00012807795410263400,-0.0001353031535301640,0.0012179635026969800,-0.0012872863024058200,-5.20013080260728E-05,5.47829822550305E-05,-0.016737508978752100,0.017784814898888600,0.0015320758649559600,-0.001626757829288780,-0.015120302917086400,0.016039728715357100,-0.0015665038500793900,0.001630235760835100,0.009774442034953480,-0.00946839900116625
eps_V_MPhi,-2.19875577076589E-05,2.19207216844985E-05,-0.00026704548343570200,0.0002694065002601940,1.54495209836458E-05,-1.53498176682643E-05,0.0014979146349152200,-0.0015033564633028000,-0.0006126407291706660,0.0006188283898493910,0.0013512590474540300,-0.001355046056234600,0.00013520821960555400,-0.00013602144330393500,-0.010755867406466700,0.011920843582710300
MPhi_max,0.0005859153323699570,-0.0006083737986781750,0.0027188580519417200,-0.0029079831357625700,-0.000499951161076928,0.0005191017745627140,-0.023873218133222500,0.025944167035819400,0.004111001467418830,-0.004620892753669500,-0.02153289497179790,0.023337386197479900,-0.0021496682110049300,0.002250105482658470,0.03475138181496780,-0.03493444845446310
a_I_MPhi,-0.00013029121362273500,0.00013679269179345300,-0.001223692121179900,0.0012803402383576600,5.35403726371619E-05,-5.64967441113451E-05,0.016916792778291200,-0.01759603322130120,-0.0015440738829012300,0.0016077399091347600,0.015257052317791100,-0.01589516945092400,0.0015510088614989500,-0.0016472297879154300,0.013917708921000100,-0.013230409635702500
del_MPhi_D,4.81630650250864E-07,-4.81687996156666E-07,0.00010038105238985300,-0.00010059014905994300,1.6312781929706E-06,-1.63217018311901E-06,-0.0002521951652540990,0.00025229372539947700,0.00016590618379397300,-0.00016654733956078500,-0.00023027969236033600,0.00023036522142816400,-2.61867329117704E-05,2.61893211355169E-05,0.0006893077461707090,-0.0006896524877962880
MPhi_I_0,-5.15159469474114E-05,5.08059725830012E-05,-0.00032562449256512400,0.00032600124919257600,3.51102571012341E-05,-3.44788082978775E-05,0.003863543945482610,-0.003859143990477040,-0.00044267173137768600,0.000441681355980883,0.0034851769753154700,-0.0034824497184158300,0.0003528863429482780,-0.00035422915720295700,-0.0009676413143738790,0.0015254071537498200
p_MPhi_I_G,1.3988810110277E-14,-6.88338275267597E-15,-4.4317882696987E-12,4.56412685423402E-12,-8.57092175010621E-14,4.41868763800812E-14,1.1956879930608E-11,-1.18953735750438E-11,-6.88737955556462E-12,6.9075856146128E-12,1.09308118112494E-11,-1.07938102900107E-11,1.24034116311122E-12,-1.22812870984035E-12,-2.74774647479603E-11,1.17879039862601E-11
eps_G_MPhi,-1.65423230669148E-14,8.88178419700125E-16,8.47566461459337E-12,-9.76785319295459E-12,1.24789067967868E-13,-1.6064927166326E-13,-2.25514051876985E-11,2.6289193044704E-11,1.3035128532124E-11,-1.5170531497688E-11,-2.05573336131693E-11,2.40427677766775E-11,-2.33535413229902E-12,2.72604161466461E-12,3.9383607486343E-11,-5.96654947671027E-11
